EX;QU;AC;SP;SU;AT;CT;BT;VT;BV;OV;CP;ACcd;SPcd;SUcd;ATcd;CTcd;BTcd;VTcd;BVcd;OVcd;CPcd
229;6;1,5;5;3,25;0;1;0;0;0;1;2;1;2;1;1;2;1;1;1;2;2
230;6;1,5;4;4,5;0;0;1;0;0;7;1;1;1;1;1;1;2;1;1;3;2
231;6;2,5;3;4,5;0;1;0;0;0;0;1;1;1;1;1;2;1;1;1;1;2
232;6;4;6;6;0;1;1;0;0;0;4;2;2;2;1;2;2;1;1;1;3
233;6;4;2;5;0;1;1;0;0;0;1;2;1;1;1;2;2;1;1;1;2
234;6;3,5;6;6,75;0;1;1;0;0;0;1;2;2;2;1;2;2;1;1;1;2
235;6;4,5;8,5;10,5;0;1;2;1;0;2;5;2;2;3;1;2;3;2;1;2;3
236;6;2,5;10;6,25;0;1;1;0;1;2;3;1;3;2;1;2;2;1;2;2;2
237;6;3;3;6,5;0;1;0;0;0;0;1;2;1;2;1;2;1;1;1;1;2
238;6;1,5;2;2,5;0;0;1;0;0;0;1;1;1;1;1;1;2;1;1;1;2
239;6;4,5;8;8;0;1;1;0;4;5;7;2;2;2;1;2;2;1;2;3;3
240;6;3,7;18;10;0;2;0;0;0;2;0;2;3;3;1;3;1;1;1;2;1
241;6;3,5;10;12;0;1;1;0;7;3;3;2;3;3;1;2;2;1;2;2;2
242;6;2,5;6;5;0;1;1;0;0;5;1;1;2;1;1;2;2;1;1;3;2
243;6;6;6;9;0;0;1;0;0;1;1;3;2;2;1;1;2;1;1;2;2
244;6;5,5;26;8;0;1;1;1;7;6;12;3;3;2;1;2;2;2;2;3;3
245;6;4;22;10,5;0;0;2;0;0;0;0;2;3;3;1;1;3;1;1;1;1
